City ID,City,Country,Act Lat,Act Lon,Temperature (F),Humidity,Cloudiness,Wind Speed
2449893,tessalit,ml,20.2,1.01,91.22,8,0,7.25
3869716,tocopilla,cl,-22.09,-70.2,83.34,37,27,6.82
3450376,santa cecilia,br,-26.96,-50.43,67.68,24,0,3.8
6089245,norman wells,ca,65.28,-126.83,17.6,52,20,8.05
5059429,grand forks,us,47.93,-97.03,41.02,56,75,20.8
2160910,kyabram,au,-36.32,145.05,55.99,78,76,5.01
2630299,hofn,is,64.25,-15.21,37.4,55,75,11.41
2141305,fayaoue,nc,-20.65,166.53,76.86,77,38,19.08
2145554,ulladulla,au,-35.35,150.47,55.6,93,40,8.05
4131116,siloam springs,us,36.19,-94.54,82.89,65,1,13.87
3405304,bom jesus,br,-9.07,-44.36,89.4,51,61,3.47
3470164,bela vista de goias,br,-16.97,-48.95,86.0,58,40,5.82
3899695,ancud,cl,-41.87,-73.82,73.4,35,0,4.7
2090021,namatanai,pg,-3.67,152.43,82.24,77,87,8.34
5780557,riverton,us,40.52,-111.94,59.85,45,1,5.82
1528998,yumen,cn,40.28,97.2,50.94,22,17,5.95
3939761,hualmay,pe,-11.1,-77.61,79.54,61,26,11.97
2444219,goure,ne,13.98,10.27,96.01,11,88,1.99
2619624,hurup,dk,56.75,8.42,47.93,58,57,10.29
2427036,ngama,td,11.78,17.17,94.06,14,29,3.85
1490042,tashtagol,ru,52.77,87.89,35.17,80,100,2.77
6145890,shelburne,ca,44.08,-80.2,49.48,62,75,18.34
3382160,cayenne,gf,4.93,-52.33,86.0,70,75,10.29
553766,kamenka,ru,51.32,42.77,45.88,82,77,9.44
319104,cay,tr,38.59,31.03,48.51,43,90,4.27
2156643,mount gambier,au,-37.83,140.77,48.2,100,8,5.82
5955902,fort nelson,ca,58.81,-122.7,26.6,38,75,2.24
3664659,carauari,br,-4.88,-66.9,87.57,62,96,4.81
902620,mwinilunga,zm,-11.74,24.43,65.34,65,58,4.12
3985168,san patricio,mx,19.22,-104.7,82.4,69,20,11.41
241131,victoria,sc,-4.62,55.45,82.4,83,20,2.24
1863997,fukue,jp,32.69,128.84,57.72,53,76,18.12
2136697,lakatoro,vu,-16.1,167.42,79.81,81,8,3.6
3385899,tutoia,br,-2.76,-42.27,87.8,74,40,11.41
287832,ibra,om,22.69,58.53,84.49,21,0,9.6
5967157,grimshaw,ca,56.18,-117.6,31.71,58,20,8.05
1177098,harnai,pk,30.1,67.94,72.05,24,73,1.34
2027786,amga,ru,60.9,131.96,31.39,92,100,4.7
1263532,margherita,in,27.28,95.68,75.0,34,53,2.42
5870133,nome,us,64.5,-165.41,-7.6,83,90,3.36
3935102,mazamari,pe,-11.33,-74.53,79.43,54,100,2.13
3412093,vestmannaeyjar,is,63.44,-20.27,39.2,64,0,8.05
1496073,orlik,ru,52.52,99.83,23.97,62,0,3.31
2119283,zyryanka,ru,65.75,150.85,10.35,94,100,22.82
4672731,baytown,us,29.74,-94.98,82.06,78,90,5.82
3361934,saldanha,za,-33.01,17.94,68.0,28,66,11.41
602150,umea,se,63.83,20.26,44.6,52,99,10.29
5847411,kahului,us,20.89,-156.47,73.63,78,1,4.7
1170706,mastung,pk,29.8,66.84,62.55,19,36,2.68
2178753,kirakira,sb,-10.45,161.92,78.53,81,12,4.83
367544,sawakin,sd,19.11,37.33,78.96,78,32,11.59
5690532,minot,us,48.23,-101.3,37.74,51,90,23.04
2374583,bubaque,gw,11.28,-15.83,79.79,71,0,15.26
3407755,amarante do maranhao,br,-5.57,-46.74,83.28,69,100,1.12
3471683,arcos,br,-20.28,-45.54,79.56,58,69,3.09
3351014,camacupa,ao,-12.02,17.48,66.42,57,10,3.0
1822207,sisophon,kh,13.59,102.97,82.81,69,28,2.64
481900,tpig,ru,41.78,47.59,26.04,49,8,4.88
3395458,maragogi,br,-9.01,-35.22,85.01,62,47,10.16
2012530,zhigansk,ru,66.77,123.37,30.29,97,100,8.55
920233,chibombo,zm,-14.66,28.07,67.59,56,45,4.45
5972291,havre-saint-pierre,ca,50.23,-63.6,30.2,63,1,18.34
2184707,wanaka,nz,-44.7,169.15,41.18,63,86,3.0
1651103,atambua,id,-9.11,124.89,74.75,78,100,2.64
3393471,oriximina,br,-1.77,-55.87,84.09,75,98,4.63
934479,grand gaube,mu,-20.01,57.66,77.68,78,40,10.29
2316259,bulungu,cd,-4.55,18.6,76.05,78,75,5.19
1927639,yueyang,cn,29.33,113.09,62.91,59,79,3.78
2139521,noumea,nc,-22.28,166.46,68.0,88,30,9.82
2177069,ballina,au,-28.87,153.57,61.21,100,75,6.93
4314295,abbeville,us,29.97,-92.13,82.29,65,75,14.99
5554428,ketchikan,us,55.34,-131.65,39.2,93,90,11.41
1835848,seoul,kr,37.57,126.98,38.73,42,1,3.36
3085450,slupsk,pl,54.46,17.03,50.49,59,52,3.09
1489822,teguldet,ru,57.31,88.17,29.75,93,100,6.67
3441890,maldonado,uy,-34.67,-54.92,64.2,63,40,14.99
3353383,rundu,na,-17.93,19.77,73.24,40,49,3.2
1488903,turukhansk,ru,65.82,87.98,33.22,89,100,14.47
